"longitude;latitude;timestamp"
"7.35313;43.66175;2026-01-10T18:00:00Z"
"8.06107;43.78438;2026-01-10T23:06:00Z"
"8.63408;43.74110;2026-01-11T04:12:00Z"
"8.97400;43.77345;2026-01-11T09:18:00Z"
"9.10300;43.75930;2026-01-11T14:24:00Z"
"9.06227;43.60963;2026-01-11T19:30:00Z"
"8.98672;43.47935;2026-01-12T00:36:00Z"
"8.94512;43.36118;2026-01-12T05:42:00Z"
"8.70712;43.44965;2026-01-12T10:48:00Z"
"8.44557;43.56598;2026-01-12T15:54:00Z"
"8.27515;43.64160;2026-01-12T21:00:00Z"
"7.86985;43.67505;2026-01-13T02:06:00Z"
"7.53868;43.62767;2026-01-13T07:12:00Z"
"7.35313;43.66175;2026-01-13T12:18:00Z"
"6.20013;43.00194;2026-04-25T14:30:00Z"
"6.19875;43.00173;2026-04-25T15:30:34Z"
"6.19759;43.00437;2026-04-25T16:31:08Z"
"6.19609;43.00560;2026-04-25T17:31:43Z"
"6.24392;43.03948;2026-04-25T18:32:17Z"
"6.28875;42.98139;2026-04-25T19:32:52Z"
"6.61006;42.79117;2026-04-25T20:33:26Z"
"6.86251;42.74264;2026-04-25T21:34:01Z"
"7.12097;42.61891;2026-04-25T22:34:35Z"
"7.49364;42.39292;2026-04-25T23:35:10Z"
"7.75811;42.21065;2026-04-26T00:35:44Z"
"7.98652;42.23736;2026-04-26T01:36:19Z"
"8.07668;42.15275;2026-04-26T02:36:53Z"
"8.35919;42.00999;2026-04-26T03:37:28Z"
"8.53334;41.91177;2026-04-26T04:38:02Z"
"8.60825;41.89215;2026-04-26T05:38:37Z"
"8.72550;41.89994;2026-04-26T06:39:11Z"
"8.74969;41.91920;2026-04-26T07:39:46Z"
"8.74339;41.91979;2026-04-26T08:40:20Z"
"8.74232;41.91984;2026-04-26T09:40:55Z"
"8.74235;41.91930;2026-04-26T10:41:29Z"
"8.74217;41.91917;2026-04-26T11:42:04Z"
